,Contact Persons,Source,business_status,formatted_address,name,opening_hours,lat,lng
106,Scott Boudreau,https://smoothcomp.com/en/club/7740,OPERATIONAL,"3972 Hastings St, Burnaby, BC V5C 6C1, Canada",Budo Martial Arts - Burnaby,{'open_now': False},49.28088229999999,-123.0177076
107,Alex Perez,https://smoothcomp.com/en/club/46957,OPERATIONAL,"2918 Lake Shore Blvd W, Etobicoke, ON M8V 1J4, Canada",Etobicoke BJJ,{'open_now': False},43.6011043,-79.50479109999999
108,,https://smoothcomp.com/en/club/12008,OPERATIONAL,"420 Weber St N F1, Waterloo, ON N2J 2Z3, Canada",Dragan Alliance Brazilian Jiu-Jitsu,{'open_now': False},43.48580279999999,-80.52866019999999
109,James Simon,https://smoothcomp.com/en/club/7522,OPERATIONAL,"101 St Andrew St W #100, Fergus, ON N1M 1N6, Canada",The Vault Coffee and Espresso bar,{'open_now': False},43.7057965,-80.37817419999999
110,,https://smoothcomp.com/en/club/7718,OPERATIONAL,"28 Gateway Dr NE, Airdrie, AB T4B 0J6, Canada",Airdrie Martial Arts Centre,{'open_now': False},51.30324299999999,-114.0101779
111,,https://smoothcomp.com/en/club/7771,,,,,,
112,,https://smoothcomp.com/en/club/7779,OPERATIONAL,"20252 98 Ave #4, Langley Twp, BC V1M 3G1, Canada",Infinity Mixed Martial Arts,{'open_now': False},49.1810722,-122.6611947
113,Kailyn Fewer,https://smoothcomp.com/en/club/7406,OPERATIONAL,"56 Broadway, Denville, NJ 07834, United States",Renzo Gracie Denville,{'open_now': False},40.8920766,-74.4759658
114,,https://smoothcomp.com/en/club/10367,OPERATIONAL,"2722 Allwood St, Abbotsford, BC V2T 3R7, Canada",Mamba Martial Arts Academy,{'open_now': False},49.0515292,-122.3195595
115,,https://smoothcomp.com/en/club/7842,OPERATIONAL,"1326 Main St, North Vancouver, BC V7J 2C3, Canada",Universal MMA,{'open_now': False},49.3068793,-123.0376914
116,,https://smoothcomp.com/en/club/9931,OPERATIONAL,"4800 Rue René-Émard, Pierrefonds, QC H9A 2Y1, Canada",West Island,{'open_now': True},45.4922352,-73.8494517
117,Landon Clements,https://smoothcomp.com/en/club/38901,OPERATIONAL,"2001 Thickson Rd S, Whitby, ON L1N 6J3, Canada",Team DNA BJJ,{'open_now': False},43.8594103,-78.8991722
118,Peter Lahaie,https://smoothcomp.com/en/club/21749,OPERATIONAL,"200 Dundas St E Unit 101, Belleville, ON K8N 1E3, Canada",Patenaude Martial Arts Belleville,{'open_now': False},44.1631795,-77.3696327
119,Erin Chartrand,https://smoothcomp.com/en/club/6838,OPERATIONAL,"389 Park Ave E, Brandon, MB R7A 7A5, Canada",WAMMA Brandon - Academy of Mixed Martial Arts,{'open_now': True},49.830456,-99.9210345
120,,https://smoothcomp.com/en/club/22034,OPERATIONAL,"99 Professors Lake Pkwy, Brampton, ON L6S 4P8, Canada",Metropolitain,,43.7468289,-79.7373336
121,Nate Hogarth,https://smoothcomp.com/en/club/7794,OPERATIONAL,"209 16 Ave NE, Calgary, AB T2E 1J9, Canada",Alavanca Calgary,{'open_now': False},51.06657,-114.0591909
122,Sue Carrique,https://smoothcomp.com/en/club/31620,OPERATIONAL,"142 Commerce Park Dr, Barrie, ON L4N 8W8, Canada",Barrie Brazilian Jiu Jitsu,{'open_now': False},44.3225456,-79.69397049999999
123,Levi Nickerson,https://smoothcomp.com/en/club/7404,OPERATIONAL,"55 Prospect St #105, Brooklyn, NY 11201, United States",Abhaya Yoga Dumbo,{'open_now': False},40.7008099,-73.9880824
124,,https://smoothcomp.com/en/club/31874,,,,,,
125,Marco Costa,https://smoothcomp.com/en/club/38734,,,,,,
126,RUBEN FERNANDO GONZALEZ ROMERO,https://smoothcomp.com/en/club/39537,,,,,,
127,Tim Gane,https://smoothcomp.com/en/club/15123,OPERATIONAL,"306 George St N, Peterborough, ON K9J 8B7, Canada",Eris Martial Arts / 10th Planet Peterborough,{'open_now': False},44.3029675,-78.3194541
128,Rydel Garcia,https://smoothcomp.com/en/club/49962,OPERATIONAL,"417B Huronia Rd, Barrie, ON L4N 9B3, Canada",Lewis' Karate Schools,{'open_now': False},44.3523078,-79.663645
129,,https://smoothcomp.com/en/club/9928,CLOSED_PERMANENTLY,"875 Wilson Rd S, Oshawa, ON L1H 8B1, Canada",Bruckmann Martial Arts,,43.8794431,-78.83277509999999
130,,https://smoothcomp.com/en/club/12031,OPERATIONAL,"12365 Tecumseh Rd E, Windsor, ON N8N 1M5, Canada",Tecumseh Jiu Jitsu | Detroit Jiu Jitsu Syndicate,{'open_now': False},42.31176079999999,-82.8842006
131,Evan Johnson,https://smoothcomp.com/en/club/50890,OPERATIONAL,"Bibi, Chitose, Hokkaido 066-0012, Japan",New Chitose Airport,,42.78410299999999,141.6857217
132,Jeremy Walters,https://smoothcomp.com/en/club/53413,,,,,,
133,,https://smoothcomp.com/en/club/5998,OPERATIONAL,"1581 Rue Denault, Sherbrooke, QC J1H 2R1, Canada",Nomad Brazilian Jiu-Jitsu,{'open_now': False},45.38906619999999,-71.9143423
134,Mark MacGregor,https://smoothcomp.com/en/club/7497,,,,,,
135,,https://smoothcomp.com/en/club/7755,OPERATIONAL,"5637 Riverbend Rd NW, Edmonton, AB T6H 5K4, Canada",Edmonton Gracie Jiu-Jitsu,{'open_now': False},53.494229,-113.5766305
136,Ty Harbour,https://smoothcomp.com/en/club/7756,OPERATIONAL,"85-99 Hazel St, Paterson, NJ 07503, United States",Team Carvalho,,40.8938299,-74.16451280000001
137,Wataru Hyodo,https://smoothcomp.com/en/club/7808,,,,,,
138,,https://smoothcomp.com/en/club/7813,OPERATIONAL,"3163 Kingsway, Vancouver, BC V5R 5K2, Canada",Posener's Pankration/MMA and Muay Thai,{'open_now': False},49.2353903,-123.0382396
139,Scott Jackson,https://smoothcomp.com/en/club/9780,OPERATIONAL,"280 E Main St #114, Newark, DE 19711, United States",Elite Brazilian Jiu Jitsu LLC,{'open_now': False},39.6850042,-75.74160080000001
140,,https://smoothcomp.com/en/club/10122,OPERATIONAL,"15724 Pierrefonds Blvd., Pierrefonds, Quebec H9H 3P6, Canada",West-Island Jiu-Jitsu Ouest De L'île,{'open_now': False},45.4793393,-73.8656434
141,Rebecca Faris,https://smoothcomp.com/en/club/6260,,,,,,
142,Josh Howe,https://smoothcomp.com/en/club/7486,OPERATIONAL,"173 Rodney St, Waterloo, ON N2J 1G4, Canada",Synergy Esthetics,{'open_now': False},43.4652092,-80.50771639999999
